# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 240 골드 / **기물 풀**: 4코 10장, 5코 7장 고증 반영 / **분석 시간**: 2026. 5. 31. 오후 7:11:41
> **평가 방식**: 시너지를 전혀 고려하지 않고 맹목적 목표 달성과 랜덤 배치로 짜여진 봇들의 덱 400개가 토너먼트 배틀로얄을 치른 후 살아남은 승률 기반 순위표입니다.

---

## 🏆 최종 최적해 순위 통계 (Top 45)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
| 20 | 6L | **창체1_사회1** | **82.5%** | 바른생활 사나이(2★) | 진로진학 멘토(2★) | 역사 매니아(2★) | 36G | **진로진학 멘토(2★)**, **역사 매니아(2★)**, 급식 당번(2★), 합창단 에이스(2★), 팝송 매니아(2★), **바른생활 사나이(2★)** |
| 21 | 8L | **국어2_육상부2_사회1** | **82.2%** | 전교 학생회장(2★) | 논술의 신(2★) | 외고 전학생(1★) | 50G | **논술의 신(2★)**, **전교 학생회장(2★)**, **외고 전학생(1★)**, 나이팅게일(1★), 미친 과학자(1★), 미친 과학자(1★), 나이팅게일(1★), 기부 천사(1★) |
| 22 | 8L | **수학2_국어2_음악2** | **82.2%** | 전교 학생회장(2★) | 수능 만점자(2★) | 외고 전학생(1★) | 51G | **수능 만점자(2★)**, **전교 학생회장(2★)**, 논술의 신(1★), 천재 피아니스트(1★), 천재 퀀트(1★), **외고 전학생(1★)**, 외고 전학생(1★), 기부 천사(1★) |
| 23 | 8L | **국어2_육상부2_사회1** | **82.0%** | 전교 학생회장(2★) | 논술의 신(2★) | 피카소의 재림(1★) | 52G | **전교 학생회장(2★)**, **논술의 신(2★)**, 나이팅게일(1★), 나이팅게일(1★), **피카소의 재림(1★)**, 외고 전학생(1★), 외고 전학생(1★), 외고 전학생(1★) |
| 24 | 6L | **사회1** | **81.5%** | 바른생활 사나이(2★) | 문학소녀(2★) | 역사 매니아(2★) | 36G | **문학소녀(2★)**, **역사 매니아(2★)**, 칠판 낙서꾼(2★), 합창단 에이스(2★), **바른생활 사나이(2★)**, 칠판 낙서꾼(2★) |
| 25 | 6L | **사회1_창체1** | **81.2%** | 골목대장(2★) | 합창단 에이스(2★) | 역사 매니아(2★) | 36G | **합창단 에이스(2★)**, **골목대장(2★)**, **역사 매니아(2★)**, 진로진학 멘토(2★), 팝송 매니아(2★), 과학실험부장(2★) |
| 26 | 6L | **보건부2_사회1** | **81.2%** | 바른생활 사나이(2★) | 역사 매니아(2★) | 수학천재(2★) | 36G | **역사 매니아(2★)**, **수학천재(2★)**, 팝송 매니아(2★), **바른생활 사나이(2★)**, 급식 당번(2★), 문학소녀(2★) |
| 27 | 8L | **국어2_수학2_과학2** | **81.2%** | 전교 학생회장(2★) | 수능 만점자(2★) | 논술의 신(2★) | 60G | **전교 학생회장(2★)**, **수능 만점자(2★)**, **논술의 신(2★)**, 수석 연구원(1★), 천재 퀀트(1★), 교장 선생님(1★), 외고 전학생(1★), 피카소의 재림(1★) |
| 28 | 6L | **체육2_장난꾸러기2_창체1** | **79.2%** | 골목대장(2★) | 합창단 에이스(2★) | 체육부장(2★) | 36G | **합창단 에이스(2★)**, 문학소녀(2★), **골목대장(2★)**, **체육부장(2★)**, 진로진학 멘토(2★), 칠판 낙서꾼(2★) |
| 29 | 8L | **수학2_사회1_창체1** | **79.2%** | 전교 학생회장(2★) | 수능 만점자(2★) | 기부 천사(1★) | 53G | **수능 만점자(2★)**, **전교 학생회장(2★)**, **기부 천사(1★)**, 천재 퀀트(1★), 외고 전학생(1★), 외고 전학생(1★), 기부 천사(1★), 기부 천사(1★) |
| 30 | 9L | **사회1** | **79.2%** | 전교 학생회장(1★) | 수능 만점자(2★) | 외고 전학생(1★) | 29G | **수능 만점자(2★)**, **외고 전학생(1★)**, **전교 학생회장(1★)**, 전교 학생회장(1★), 나이팅게일(1★) |
| 31 | 6L | **수학2_장난꾸러기2_창체1** | **78.9%** | 골목대장(2★) | 칠판 낙서꾼(2★) | 진로진학 멘토(2★) | 36G | **칠판 낙서꾼(2★)**, **진로진학 멘토(2★)**, **골목대장(2★)**, 역사 매니아(2★), 합창단 에이스(2★), 수학천재(2★) |
| 32 | 6L | **선도부2** | **78.9%** | 바른생활 사나이(2★) | 급식 당번(2★) | 체육부장(2★) | 36G | **바른생활 사나이(2★)**, **급식 당번(2★)**, **체육부장(2★)**, 문학소녀(2★), 급식 당번(2★), 바른생활 사나이(2★) |
| 33 | 6L | **수학2_장난꾸러기2_보건부2** | **78.4%** | 골목대장(2★) | 칠판 낙서꾼(2★) | 역사 매니아(2★) | 36G | **칠판 낙서꾼(2★)**, **역사 매니아(2★)**, 팝송 매니아(2★), 문학소녀(2★), 수학천재(2★), **골목대장(2★)** |
| 34 | 6L | **수학2_선도부2** | **78.4%** | 바른생활 사나이(2★) | 합창단 에이스(2★) | 수학천재(2★) | 36G | **합창단 에이스(2★)**, 급식 당번(2★), **수학천재(2★)**, **바른생활 사나이(2★)**, 칠판 낙서꾼(2★), 체육부장(2★) |
| 35 | 6L | **보건부2** | **77.9%** | 바른생활 사나이(2★) | 문학소녀(2★) | 과학실험부장(2★) | 36G | **바른생활 사나이(2★)**, **문학소녀(2★)**, 합창단 에이스(2★), **과학실험부장(2★)**, 칠판 낙서꾼(2★), 팝송 매니아(2★) |
