# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 220 골드 / **기물 풀**: 4코 10장, 5코 7장 고증 반영 / **분석 시간**: 2026. 5. 31. 오후 7:07:23
> **평가 방식**: 시너지를 전혀 고려하지 않고 맹목적 목표 달성과 랜덤 배치로 짜여진 봇들의 덱 400개가 토너먼트 배틀로얄을 치른 후 살아남은 승률 기반 순위표입니다.

---

## 🏆 최종 최적해 순위 통계 (Top 45)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
|:---:|:---:|:---|:---:|:---|:---|:---|:---:|:---|
| 🥇 | 6L | **창체1** | **95.5%** | 바른생활 사나이(2★) | 과학실험부장(2★) | 급식 당번(2★) | 36G | **과학실험부장(2★)**, **급식 당번(2★)**, **바른생활 사나이(2★)**, 진로진학 멘토(2★), 골목대장(2★), 팝송 매니아(2★) |
| 🥈 | 6L | **장난꾸러기2_창체1** | **94.5%** | 바른생활 사나이(2★) | 골목대장(2★) | 과학실험부장(2★) | 36G | **바른생활 사나이(2★)**, **골목대장(2★)**, **과학실험부장(2★)**, 문학소녀(2★), 칠판 낙서꾼(2★), 진로진학 멘토(2★) |
| 🥉 | 6L | **사회1** | **93.7%** | 바른생활 사나이(2★) | 수학천재(2★) | 급식 당번(2★) | 36G | **바른생활 사나이(2★)**, **수학천재(2★)**, **급식 당번(2★)**, 과학실험부장(2★), 역사 매니아(2★), 팝송 매니아(2★) |
| 4 | 6L | **선도부2_사회1** | **93.0%** | 바른생활 사나이(2★) | 급식 당번(2★) | 역사 매니아(2★) | 36G | **바른생활 사나이(2★)**, **급식 당번(2★)**, 합창단 에이스(2★), **역사 매니아(2★)**, 칠판 낙서꾼(2★), 체육부장(2★) |
| 5 | 6L | **수학2_사회1** | **92.7%** | 바른생활 사나이(2★) | 수학천재(2★) | 문학소녀(2★) | 36G | **수학천재(2★)**, **문학소녀(2★)**, 역사 매니아(2★), 합창단 에이스(2★), 칠판 낙서꾼(2★), **바른생활 사나이(2★)** |
| 6 | 6L | **체육2_선도부2_장난꾸러기2** | **91.7%** | 바른생활 사나이(2★) | 체육부장(2★) | 골목대장(2★) | 36G | **바른생활 사나이(2★)**, **체육부장(2★)**, **골목대장(2★)**, 합창단 에이스(2★), 칠판 낙서꾼(2★), 급식 당번(2★) |
| 7 | 6L | **창체1** | **91.2%** | 바른생활 사나이(2★) | 문학소녀(2★) | 수학천재(2★) | 36G | **문학소녀(2★)**, **수학천재(2★)**, **바른생활 사나이(2★)**, 급식 당번(2★), 과학실험부장(2★), 진로진학 멘토(2★) |
| 8 | 6L | **체육2_선도부2_보건부2** | **91.2%** | 바른생활 사나이(2★) | 진로진학 멘토(2★) | 체육부장(2★) | 36G | **바른생활 사나이(2★)**, **진로진학 멘토(2★)**, **체육부장(2★)**, 골목대장(2★), 문학소녀(2★), 팝송 매니아(2★) |
| 9 | 6L | **보건부2_선도부2_사회1** | **91.2%** | 바른생활 사나이(2★) | 팝송 매니아(2★) | 과학실험부장(2★) | 36G | **팝송 매니아(2★)**, **과학실험부장(2★)**, 문학소녀(2★), **바른생활 사나이(2★)**, 역사 매니아(2★), 체육부장(2★) |
| 10 | 6L | **선도부2_창체1** | **91.0%** | 바른생활 사나이(2★) | 수학천재(2★) | 팝송 매니아(2★) | 36G | **수학천재(2★)**, **팝송 매니아(2★)**, **바른생활 사나이(2★)**, 진로진학 멘토(2★), 합창단 에이스(2★), 체육부장(2★) |
| 11 | 9L | **국어2_창체1_사회1** | **90.7%** | 전교 학생회장(1★) | 기부 천사(1★) | 논술의 신(1★) | 13G | **기부 천사(1★)**, **전교 학생회장(1★)**, **논술의 신(1★)** |
| 12 | 9L | **국어2_사회1** | **90.5%** | 전교 학생회장(1★) | 수능 만점자(1★) | 논술의 신(1★) | 12G | **수능 만점자(1★)**, **전교 학생회장(1★)**, **논술의 신(1★)** |
| 13 | 6L | **보건부2_창체1** | **89.5%** | 바른생활 사나이(2★) | 수학천재(2★) | 진로진학 멘토(2★) | 36G | **수학천재(2★)**, **진로진학 멘토(2★)**, 문학소녀(2★), 수학천재(2★), 팝송 매니아(2★), **바른생활 사나이(2★)** |
| 14 | 6L | **보건부2_선도부2** | **89.0%** | 바른생활 사나이(2★) | 문학소녀(2★) | 과학실험부장(2★) | 36G | **문학소녀(2★)**, **바른생활 사나이(2★)**, **과학실험부장(2★)**, 체육부장(2★), 문학소녀(2★), 팝송 매니아(2★) |
| 15 | 9L | **국어2_사회1** | **89.0%** | 전교 학생회장(1★) | 천재 퀀트(1★) | 논술의 신(1★) | 12G | **전교 학생회장(1★)**, **천재 퀀트(1★)**, **논술의 신(1★)** |
| 16 | 6L | **체육2_선도부2** | **88.5%** | 바른생활 사나이(2★) | 합창단 에이스(2★) | 골목대장(2★) | 36G | **바른생활 사나이(2★)**, **합창단 에이스(2★)**, **골목대장(2★)**, 수학천재(2★), 과학실험부장(2★), 체육부장(2★) |
| 17 | 6L | **창체1** | **88.5%** | 바른생활 사나이(2★) | 진로진학 멘토(2★) | 합창단 에이스(2★) | 36G | **진로진학 멘토(2★)**, **합창단 에이스(2★)**, **바른생활 사나이(2★)**, 급식 당번(2★), 골목대장(2★), 합창단 에이스(2★) |
| 18 | 9L | **국어2_육상부2_사회1** | **88.5%** | 전교 학생회장(1★) | 외고 전학생(1★) | 전교 학생회장(1★) | 17G | **외고 전학생(1★)**, **전교 학생회장(1★)**, **전교 학생회장(1★)**, 논술의 신(1★) |
| 19 | 6L | **창체1_사회1** | **88.2%** | 바른생활 사나이(2★) | 팝송 매니아(2★) | 진로진학 멘토(2★) | 36G | **팝송 매니아(2★)**, **진로진학 멘토(2★)**, **바른생활 사나이(2★)**, 급식 당번(2★), 골목대장(2★), 역사 매니아(2★) |
| 20 | 6L | **선도부2_창체1** | **88.0%** | 바른생활 사나이(2★) | 팝송 매니아(2★) | 급식 당번(2★) | 36G | **팝송 매니아(2★)**, **급식 당번(2★)**, **바른생활 사나이(2★)**, 수학천재(2★), 체육부장(2★), 진로진학 멘토(2★) |
| 21 | 6L | **보건부2_창체1** | **87.7%** | 바른생활 사나이(2★) | 칠판 낙서꾼(2★) | 문학소녀(2★) | 36G | **칠판 낙서꾼(2★)**, **문학소녀(2★)**, **바른생활 사나이(2★)**, 진로진학 멘토(2★), 급식 당번(2★), 팝송 매니아(2★) |
| 22 | 6L | **무지성잡덱** | **86.7%** | 바른생활 사나이(2★) | 문학소녀(2★) | 과학실험부장(2★) | 36G | **바른생활 사나이(2★)**, **문학소녀(2★)**, 급식 당번(2★), **과학실험부장(2★)**, 수학천재(2★), 급식 당번(2★) |
