# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 280 골드 / **기물 풀**: 4코 10장, 5코 7장 고증 반영 / **분석 시간**: 2026. 5. 31. 오후 10:11:07
> **평가 방식**: 각 레벨별 예선(100개 풀 리그)을 통과한 상위 10개씩, 총 40개의 정예 덱들이 결선 토너먼트 배틀로얄을 치른 승률 기반 순위표입니다.

---

## 🏆 최종 최적해 순위 통계 (Top 45)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
|:---:|:---:|:---|:---:|:---|:---|:---|:---:|:---|
| 🥇 | 6L | **선도부2_보건부2** | **84.6%** | 바른생활 사나이(2코3★) | 칠판 낙서꾼(2코3★) | 팝송 매니아(2코3★) | 72G | **바른생활 사나이(2코3★)**, **칠판 낙서꾼(2코3★)**, **팝송 매니아(2코3★)**, 문학소녀(2코2★), 과학실험부장(2코2★), 체육부장(2코2★) |
| 16 | 9L | **수학2_과학2_국어2** | **56.4%** | 전교 학생회장(4코2★) | 천재 퀀트(4코2★) | 피카소의 재림(5코1★) | 55G | **천재 퀀트(4코2★)**, **전교 학생회장(4코2★)**, **피카소의 재림(5코1★)**, 외고 전학생(5코1★), 기부 천사(5코1★), 나이팅게일(4코1★), 논술의 신(4코1★), 미친 과학자(4코1★), 수능 만점자(4코1★) |
| 17 | 6L | **수학2_장난꾸러기2_창체1** | **53.8%** | 골목대장(2코2★) | 진로진학 멘토(2코3★) | 역사 매니아(2코2★) | 48G | **진로진학 멘토(2코3★)**, **역사 매니아(2코2★)**, 수학천재(2코2★), 칠판 낙서꾼(2코2★), **골목대장(2코2★)**, 합창단 에이스(2코2★) |
| 18 | 7L | **영어2_선도부2_사회1** | **53.8%** | 양호실 도우미(3코2★) | 오케스트라 단장(3코2★) | 사회탐구 1타(3코2★) | 63G | **양호실 도우미(3코2★)**, **오케스트라 단장(3코2★)**, **사회탐구 1타(3코2★)**, 영어 프리토커(3코2★), 해외 보따리상(3코2★), 올림피아드 금상(3코2★), 수채화 장인(3코2★) |
| 19 | 8L | **국어2_체육2_도덕2** | **53.8%** | 전교 학생회장(4코2★) | 논술의 신(4코2★) | 미친 과학자(4코1★) | 49G | **전교 학생회장(4코2★)**, **논술의 신(4코2★)**, **미친 과학자(4코1★)**, 전교 체육부장(4코1★), 수능 만점자(4코1★), 육상부 에이스(3코1★), 미술 치료사(3코1★), 양호실 도우미(3코1★), 나이팅게일(4코1★) |
| 20 | 6L | **수학2_장난꾸러기2_창체1** | **51.3%** | 골목대장(2코3★) | 급식 당번(2코3★) | 과학실험부장(2코3★) | 72G | **골목대장(2코3★)**, **급식 당번(2코3★)**, **과학실험부장(2코3★)**, 칠판 낙서꾼(2코2★), 수학천재(2코2★), 진로진학 멘토(2코2★) |
| 21 | 6L | **장난꾸러기2_창체1** | **48.7%** | 골목대장(2코3★) | 급식 당번(2코3★) | 칠판 낙서꾼(2코2★) | 60G | **급식 당번(2코3★)**, **골목대장(2코3★)**, **칠판 낙서꾼(2코2★)**, 진로진학 멘토(2코2★), 바른생활 사나이(2코2★), 합창단 에이스(2코2★) |
| 22 | 8L | **국어2_사회1** | **48.7%** | 전교 학생회장(4코2★) | 논술의 신(4코2★) | 미친 과학자(4코1★) | 52G | **전교 학생회장(4코2★)**, **논술의 신(4코2★)**, **미친 과학자(4코1★)**, 나이팅게일(4코1★), 나이팅게일(4코1★), 전교 체육부장(4코1★), 전교 학생회장(4코1★), 수능 만점자(4코1★), 천재 피아니스트(4코1★) |
| 23 | 6L | **체육2_보건부2_장난꾸러기2** | **46.2%** | 골목대장(2코3★) | 문학소녀(2코3★) | 과학실험부장(2코2★) | 60G | **문학소녀(2코3★)**, **골목대장(2코3★)**, **과학실험부장(2코2★)**, 체육부장(2코2★), 팝송 매니아(2코2★), 칠판 낙서꾼(2코2★) |
| 24 | 8L | **수학2_과학2** | **46.2%** | 전교 체육부장(4코1★) | 천재 피아니스트(4코2★) | 천재 퀀트(4코2★) | 52G | **천재 피아니스트(4코2★)**, **천재 퀀트(4코2★)**, 수능 만점자(4코1★), 나이팅게일(4코1★), 수능 만점자(4코1★), 나이팅게일(4코1★), 논술의 신(4코1★), 미친 과학자(4코1★), **전교 체육부장(4코1★)** |
| 25 | 9L | **과학2_장난꾸러기2** | **46.2%** | 교장 선생님(5코1★) | 피카소의 재림(5코2★) | 외고 전학생(5코1★) | 52G | **피카소의 재림(5코2★)**, **교장 선생님(5코1★)**, 교장 선생님(5코1★), **외고 전학생(5코1★)**, 외고 전학생(5코1★), 수석 연구원(5코1★), 미친 과학자(4코1★), 천재 퀀트(4코1★), 천재 퀀트(4코1★) |
| 26 | 6L | **창체1_사회1** | **43.6%** | 골목대장(2코2★) | 급식 당번(2코3★) | 수학천재(2코2★) | 48G | **급식 당번(2코3★)**, **수학천재(2코2★)**, 진로진학 멘토(2코2★), 문학소녀(2코2★), 역사 매니아(2코2★), **골목대장(2코2★)** |
| 27 | 8L | **수학2_과학2_경제부2** | **43.6%** | 교장 선생님(5코1★) | 수능 만점자(4코2★) | 천재 퀀트(4코2★) | 49G | **수능 만점자(4코2★)**, **천재 퀀트(4코2★)**, 미친 과학자(4코1★), 논술의 신(4코1★), 미술 치료사(3코1★), 또래 상담 에이스(3코1★), 해외 보따리상(3코1★), 오케스트라 단장(3코1★), **교장 선생님(5코1★)** |
| 28 | 8L | **급식부3_과학2_국어2** | **41.0%** | 전교 학생회장(4코2★) | 미친 과학자(4코2★) | 논술의 신(4코2★) | 54G | **미친 과학자(4코2★)**, **논술의 신(4코2★)**, **전교 학생회장(4코2★)**, 나이팅게일(4코1★), 수채화 장인(3코1★), 오케스트라 단장(3코1★), 발명품 매니아(3코1★), 수석 연구원(5코1★) |
| 29 | 9L | **과학2_도덕2_국어2** | **41.0%** | 교장 선생님(5코1★) | 수석 연구원(5코2★) | 피카소의 재림(5코2★) | 60G | **수석 연구원(5코2★)**, **피카소의 재림(5코2★)**, **교장 선생님(5코1★)**, 외고 전학생(5코1★), 논술의 신(4코1★), 논술의 신(4코1★), 전교 학생회장(4코1★), 나이팅게일(4코1★), 미친 과학자(4코1★) |
| 30 | 8L | **수학2_사회1** | **38.5%** | 전교 학생회장(4코2★) | 수능 만점자(4코2★) | 나이팅게일(4코2★) | 52G | **수능 만점자(4코2★)**, **나이팅게일(4코2★)**, 전교 체육부장(4코1★), 전교 체육부장(4코1★), 천재 피아니스트(4코1★), 천재 퀀트(4코1★), **전교 학생회장(4코2★)** |
| 31 | 9L | **급식부3_음악2_과학2** | **38.5%** | 전교 학생회장(4코1★) | 천재 피아니스트(4코2★) | 기부 천사(5코1★) | 47G | **천재 피아니스트(4코2★)**, **기부 천사(5코1★)**, 외고 전학생(5코1★), 수석 연구원(5코1★), **전교 학생회장(4코1★)**, 천재 퀀트(4코1★), 미친 과학자(4코1★), 전교 체육부장(4코1★), 미친 과학자(4코1★) |
| 32 | 8L | **국어2_사회1** | **35.9%** | 전교 학생회장(4코2★) | 미친 과학자(4코2★) | 전교 체육부장(4코1★) | 52G | **전교 학생회장(4코2★)**, **미친 과학자(4코2★)**, **전교 체육부장(4코1★)**, 논술의 신(4코1★), 수능 만점자(4코1★), 나이팅게일(4코1★), 수능 만점자(4코1★), 논술의 신(4코1★), 전교 체육부장(4코1★) |
| 33 | 7L | **영어2_미술2_창체1** | **33.3%** | 또래 상담 에이스(3코3★) | 영어 프리토커(3코2★) | 수채화 장인(3코2★) | 81G | **또래 상담 에이스(3코3★)**, **영어 프리토커(3코2★)**, **수채화 장인(3코2★)**, 오케스트라 단장(3코2★), 해외 보따리상(3코2★), 미술 치료사(3코2★), 오케스트라 단장(3코2★) |
| 34 | 7L | **사회1** | **33.3%** | 양호실 도우미(3코2★) | 시조 읊는 선비(3코2★) | 해외 보따리상(3코2★) | 63G | **시조 읊는 선비(3코2★)**, **해외 보따리상(3코2★)**, **양호실 도우미(3코2★)**, 올림피아드 금상(3코2★), 시조 읊는 선비(3코2★), 사회탐구 1타(3코2★), 발명품 매니아(3코2★) |
| 35 | 9L | **국어2_장난꾸러기2_창체1** | **33.3%** | 교장 선생님(5코1★) | 천재 피아니스트(4코2★) | 수능 만점자(4코2★) | 55G | **천재 피아니스트(4코2★)**, **수능 만점자(4코2★)**, 피카소의 재림(5코1★), 기부 천사(5코1★), **교장 선생님(5코1★)**, 논술의 신(4코1★), 전교 학생회장(4코1★), 논술의 신(4코1★), 미친 과학자(4코1★) |
| 36 | 7L | **영어2_창체1_사회1** | **30.8%** | 또래 상담 에이스(3코2★) | 발명품 매니아(3코2★) | 해외 보따리상(3코2★) | 63G | **발명품 매니아(3코2★)**, **해외 보따리상(3코2★)**, 영어 프리토커(3코2★), 올림피아드 금상(3코2★), **또래 상담 에이스(3코2★)**, 사회탐구 1타(3코2★), 미술 치료사(3코2★) |
| 37 | 7L | **영어2_창체1** | **30.8%** | 또래 상담 에이스(3코2★) | 올림피아드 금상(3코3★) | 시조 읊는 선비(3코2★) | 81G | **올림피아드 금상(3코3★)**, **시조 읊는 선비(3코2★)**, 육상부 에이스(3코2★), **또래 상담 에이스(3코2★)**, 양호실 도우미(3코2★), 영어 프리토커(3코2★), 해외 보따리상(3코2★) |
| 38 | 7L | **미술2_보건부2_선도부2** | **25.6%** | 또래 상담 에이스(3코2★) | 미술 치료사(3코2★) | 수채화 장인(3코2★) | 63G | **미술 치료사(3코2★)**, **또래 상담 에이스(3코2★)**, 양호실 도우미(3코2★), **수채화 장인(3코2★)**, 오케스트라 단장(3코2★), 해외 보따리상(3코2★), 올림피아드 금상(3코2★) |
| 39 | 7L | **창체1** | **17.9%** | 또래 상담 에이스(3코2★) | 올림피아드 금상(3코2★) | 미술 치료사(3코2★) | 63G | **올림피아드 금상(3코2★)**, **미술 치료사(3코2★)**, **또래 상담 에이스(3코2★)**, 오케스트라 단장(3코2★), 발명품 매니아(3코2★), 올림피아드 금상(3코2★), 시조 읊는 선비(3코2★) |
| 40 | 7L | **선도부2_사회1** | **15.4%** | 올림피아드 금상(3코2★) | 시조 읊는 선비(3코2★) | 수채화 장인(3코2★) | 63G | **시조 읊는 선비(3코2★)**, **올림피아드 금상(3코2★)**, **수채화 장인(3코2★)**, 오케스트라 단장(3코2★), 영어 프리토커(3코2★), 시조 읊는 선비(3코2★), 사회탐구 1타(3코2★) |
