# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 320 골드 / **기물 풀**: 4코 10장, 5코 7장 고증 반영 / **분석 시간**: 2026. 5. 31. 오후 1:58:07
> **평가 방식**: 시너지를 전혀 고려하지 않고 맹목적 목표 달성과 랜덤 배치로 짜여진 봇들의 덱 400개가 토너먼트 배틀로얄을 치른 후 살아남은 승률 기반 순위표입니다.

---

## 🏆 최종 최적해 순위 통계 (Top 45)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
| 18 | 6L | **창체1** | **83.5%** | 골목대장(3★) | 과학실험부장(3★) | 수학천재(3★) | 82G | **과학실험부장(3★)**, **수학천재(3★)**, **골목대장(3★)**, 바른생활 사나이(3★), 수학천재(2★), 문학소녀(1★), 진로진학 멘토(1★) |
| 19 | 6L | **창체1** | **83.2%** | 골목대장(3★) | 팝송 매니아(3★) | 진로진학 멘토(3★) | 84G | **팝송 매니아(3★)**, **진로진학 멘토(3★)**, **골목대장(3★)**, 과학실험부장(3★), 급식 당번(2★), 진로진학 멘토(2★) |
| 20 | 6L | **사회1** | **83.2%** | 바른생활 사나이(2★) | 역사 매니아(3★) | 합창단 에이스(3★) | 86G | **역사 매니아(3★)**, **합창단 에이스(3★)**, 과학실험부장(3★), 팝송 매니아(3★), **바른생활 사나이(2★)**, 합창단 에이스(2★), 수학천재(1★) |
| 21 | 6L | **창체1** | **83.2%** | 바른생활 사나이(3★) | 급식 당번(3★) | 팝송 매니아(3★) | 86G | **급식 당번(3★)**, **바른생활 사나이(3★)**, **팝송 매니아(3★)**, 골목대장(3★), 바른생활 사나이(2★), 급식 당번(2★), 진로진학 멘토(1★) |
| 22 | 6L | **사회1_창체1** | **82.7%** | 바른생활 사나이(3★) | 과학실험부장(3★) | 역사 매니아(3★) | 82G | **바른생활 사나이(3★)**, **과학실험부장(3★)**, **역사 매니아(3★)**, 수학천재(3★), 과학실험부장(2★), 문학소녀(1★), 진로진학 멘토(1★) |
| 23 | 6L | **체육2_사회1_창체1** | **82.2%** | 골목대장(3★) | 과학실험부장(3★) | 체육부장(3★) | 78G | **과학실험부장(3★)**, **골목대장(3★)**, **체육부장(3★)**, 급식 당번(3★), 역사 매니아(1★), 팝송 매니아(1★), 진로진학 멘토(1★) |
| 24 | 6L | **무지성잡덱** | **82.0%** | 바른생활 사나이(3★) | 급식 당번(3★) | 골목대장(3★) | 82G | **급식 당번(3★)**, 합창단 에이스(3★), **바른생활 사나이(3★)**, **골목대장(3★)**, 합창단 에이스(2★), 문학소녀(1★), 수학천재(1★) |
| 25 | 8L | **국어2_미술2_육상부2** | **82.0%** | 전교 학생회장(2★) | 전교 학생회장(2★) | 외고 전학생(1★) | 53G | **전교 학생회장(2★)**, **전교 학생회장(2★)**, 피카소의 재림(1★), 논술의 신(1★), 수능 만점자(1★), 나이팅게일(1★), 논술의 신(1★), 미술 치료사(1★), **외고 전학생(1★)** |
| 26 | 6L | **보건부2** | **80.7%** | 바른생활 사나이(3★) | 문학소녀(3★) | 수학천재(3★) | 84G | **바른생활 사나이(3★)**, **문학소녀(3★)**, **수학천재(3★)**, 팝송 매니아(3★), 바른생활 사나이(2★), 수학천재(2★) |
| 27 | 6L | **체육2_보건부2_창체1** | **80.5%** | 골목대장(3★) | 팝송 매니아(3★) | 진로진학 멘토(3★) | 78G | **골목대장(3★)**, **팝송 매니아(3★)**, **진로진학 멘토(3★)**, 과학실험부장(3★), 수학천재(1★), 체육부장(1★), 문학소녀(1★) |
